<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
20210908,000000,1539.2000000,1542.4000000,1522.6000000,1529.8000000,230097
20210909,000000,1525.0000000,1530.2000000,1512.2000000,1514.8000000,202724
20210910,000000,1518.0000000,1534.8000000,1515.4000000,1530.8000000,199093
20210913,000000,1533.2000000,1592.4000000,1530.2000000,1586.4000000,613423
20210914,000000,1590.0000000,1594.8000000,1564.8000000,1571.2000000,457639
20210915,000000,1577.6000000,1586.0000000,1553.4000000,1557.2000000,229283
20210916,000000,1557.4000000,1572.0000000,1540.2000000,1559.2000000,359493
20210917,000000,1566.6000000,1582.8000000,1558.2000000,1570.4000000,340402
20210920,000000,1570.2000000,1576.2000000,1515.0000000,1521.4000000,411345
20210921,000000,1527.6000000,1546.8000000,1516.2000000,1535.0000000,250749
20210922,000000,1540.0000000,1540.2000000,1521.4000000,1537.8000000,202833
20210923,000000,1541.8000000,1544.4000000,1501.2000000,1515.0000000,356138
20210924,000000,1513.0000000,1530.0000000,1508.0000000,1525.4000000,210060
20210927,000000,1525.6000000,1530.2000000,1480.8000000,1487.0000000,389023
20210928,000000,1489.8000000,1516.2000000,1477.8000000,1498.2000000,303863
20210929,000000,1500.0000000,1503.2000000,1488.0000000,1497.2000000,133296
20210930,000000,1503.2000000,1506.2000000,1481.0000000,1488.0000000,253361
20211001,000000,1483.2000000,1487.6000000,1474.0000000,1481.8000000,165429
20211004,000000,1484.0000000,1487.6000000,1448.2000000,1461.8000000,269232
20211005,000000,1457.0000000,1478.4000000,1437.6000000,1466.0000000,298879
20211006,000000,1466.0000000,1470.4000000,1431.2000000,1448.2000000,332168
20211007,000000,1458.2000000,1495.0000000,1442.8000000,1495.0000000,351315
20211008,000000,1495.2000000,1498.4000000,1460.0000000,1465.0000000,268731
20211011,000000,1468.6000000,1470.2000000,1438.0000000,1456.6000000,308805
20211012,000000,1456.6000000,1489.2000000,1447.2000000,1468.0000000,440577
20211013,000000,1462.8000000,1478.4000000,1452.6000000,1473.2000000,215627
20211014,000000,1476.8000000,1486.8000000,1470.0000000,1472.8000000,252264
20211015,000000,1468.2000000,1499.6000000,1468.2000000,1495.0000000,281633
20211018,000000,1499.0000000,1571.0000000,1491.0000000,1570.6000000,780974
20211019,000000,1571.6000000,1591.0000000,1563.4000000,1573.8000000,488968
20211020,000000,1572.0000000,1619.4000000,1572.0000000,1614.8000000,536853
20211021,000000,1609.0000000,1618.6000000,1586.0000000,1596.2000000,367976
20211022,000000,1602.6000000,1603.0000000,1538.0000000,1546.0000000,572028
20211025,000000,1545.0000000,1555.8000000,1522.0000000,1547.0000000,389985
20211026,000000,1557.0000000,1557.2000000,1509.0000000,1515.4000000,292053
20211027,000000,1515.0000000,1546.2000000,1502.8000000,1540.2000000,382913
20211028,000000,1539.0000000,1545.2000000,1484.6000000,1504.2000000,708834
20211029,000000,1504.2000000,1509.0000000,1443.6000000,1461.2000000,685916
20211101,000000,1473.0000000,1473.0000000,1439.8000000,1463.4000000,513701
20211102,000000,1465.0000000,1469.0000000,1434.0000000,1441.4000000,404439
20211103,000000,1442.4000000,1457.4000000,1437.2000000,1449.8000000,234928
20211105,000000,1452.0000000,1453.4000000,1427.0000000,1438.0000000,222612
20211108,000000,1442.0000000,1457.0000000,1426.2000000,1433.8000000,345328
20211109,000000,1428.8000000,1435.6000000,1400.6000000,1405.0000000,565948
20211110,000000,1409.0000000,1415.6000000,1371.6000000,1379.4000000,598352
20211111,000000,1389.4000000,1397.2000000,1371.2000000,1391.0000000,385666
20211112,000000,1395.0000000,1413.8000000,1378.0000000,1403.0000000,581613
20211115,000000,1405.0000000,1414.0000000,1384.0000000,1388.8000000,314129
20211116,000000,1393.4000000,1401.0000000,1378.0000000,1389.4000000,319555
20211117,000000,1385.0000000,1400.0000000,1380.2000000,1380.8000000,253253
20211118,000000,1380.8000000,1398.8000000,1376.4000000,1385.0000000,280243
20211119,000000,1390.8000000,1395.0000000,1320.0000000,1325.8000000,1016709
20211122,000000,1329.0000000,1339.2000000,1259.2000000,1280.0000000,1101739
20211123,000000,1280.0000000,1296.0000000,1256.4000000,1295.0000000,765551
20211124,000000,1305.0000000,1311.8000000,1266.8000000,1290.2000000,442730
20211125,000000,1291.6000000,1301.6000000,1268.2000000,1279.0000000,326323
20211126,000000,1268.0000000,1268.0000000,1203.0000000,1206.8000000,775285
20211129,000000,1219.0000000,1265.4000000,1212.6000000,1244.8000000,661610
